Column Name,Data Type,Total Rows,Null Count,Duplicates Exist (Cardinality),Value Range,Sample Value
id,BIGINT,96871,0,No,13913 to 1508964418056953856,973851879183495567
name,VARCHAR,96871,0,Yes,-,London Paddington Apartments (Superior Studio)
host_id,BIGINT,96871,0,Yes,2594 to 718690455,524590602
host_name,VARCHAR,96871,43,Yes,-,Mohammad Rafiq
neighbourhood_group,VARCHAR,96871,96871,No,-,NULL
neighbourhood,VARCHAR,96871,0,Yes,-,Westminster
latitude,DOUBLE,96871,0,Yes,51.295937 to 51.68263,51.5179311
longitude,DOUBLE,96871,0,Yes,-0.49676 to 0.27896,-0.1699439
room_type,VARCHAR,96871,0,Yes,-,Private room
price,BIGINT,96871,34908,Yes,7 to 1085147,256
minimum_nights,BIGINT,96871,0,Yes,1 to 1125,1
number_of_reviews,BIGINT,96871,0,Yes,0 to 1902,3
last_review,DATE,96871,24122,Yes,-,2024-02-10
reviews_per_month,DOUBLE,96871,24122,Yes,0.01 to 36.96,0.14
calculated_host_listings_count,BIGINT,96871,0,Yes,1 to 500,11
availability_365,BIGINT,96871,0,Yes,0 to 365,128
number_of_reviews_ltm,BIGINT,96871,0,Yes,0 to 390,0
license,VARCHAR,96871,96871,No,-,NULL
