Column Name,Data Type,Total Rows,Null Count,Duplicates Exist (Cardinality),Value Range,Sample Value
id,BIGINT,96871,0,No,13913 to 1508964418056953856,6116453
listing_url,VARCHAR,96871,0,No,-,https://www.airbnb.com/rooms/6116453
scrape_id,BIGINT,96871,0,Yes,20250914034649 to 20250914034649,20250914034649
last_scraped,DATE,96871,0,Yes,-,2025-09-15
source,VARCHAR,96871,0,Yes,-,city scrape
name,VARCHAR,96871,0,Yes,-,"2 king Bedroom, London Flat"
description,VARCHAR,96871,2450,Yes,-,"My bright double bedroom with a large window has a relaxed feeling! It comfortably fits one or two and is centrally located just two blocks from Finsbury Park. Enjoy great restaurants in the area and easy access to easy transport tubes, trains and buses. Babies and children of all ages are welcome."
neighborhood_overview,VARCHAR,96871,55662,Yes,-,"Finsbury Park is a friendly melting pot community composed of Turkish, French, Spanish, Middle Eastern, Irish and English families. <br />We have a wonderful variety of international restaurants directly under us on Stroud Green Road. And there are many shops and large Tescos supermarket right next door. <br /><br />But you can also venture up to Crouch End and along Greens Lanes where there will endless choice of Turkish and Middle Eastern cuisines.s"
picture_url,VARCHAR,96871,6,Yes,-,https://a0.muscache.com/pictures/4d91a458-f620-4493-918e-2ce31806466f.jpg
host_id,BIGINT,96871,0,Yes,2594 to 718690455,31607089
host_url,VARCHAR,96871,0,Yes,-,https://www.airbnb.com/users/show/146200796
host_name,VARCHAR,96871,43,Yes,-,Alexis
host_since,DATE,96871,41,Yes,-,2017-08-15
host_location,VARCHAR,96871,23771,Yes,-,"London, United Kingdom"
host_about,VARCHAR,96871,47032,Yes,-,"Dutch professional living and loving life in this wonderful little town called London. Avid traveler, love my art & architecture, music and good food! 
I will make sure your stay is super comfy, whilst being on standby if there is anything you require: the whole flat and garden are at your disposal. "
host_response_time,VARCHAR,96871,41,Yes,-,within a few hours
host_response_rate,VARCHAR,96871,41,Yes,-,N/A
host_acceptance_rate,VARCHAR,96871,41,Yes,-,N/A
host_is_superhost,BOOLEAN,96871,1766,Yes,-,False
host_thumbnail_url,VARCHAR,96871,41,Yes,-,https://a0.muscache.com/im/users/54730/profile_pic/1327774386/original.jpg?aki_policy=profile_small
host_picture_url,VARCHAR,96871,41,Yes,-,https://a0.muscache.com/im/users/54730/profile_pic/1327774386/original.jpg?aki_policy=profile_x_medium
host_neighbourhood,VARCHAR,96871,51021,Yes,-,Bloomsbury
host_listings_count,BIGINT,96871,41,Yes,1 to 5469,1
host_total_listings_count,BIGINT,96871,41,Yes,1 to 8769,1
host_verifications,VARCHAR,96871,0,Yes,-,"['email', 'phone']"
host_has_profile_pic,BOOLEAN,96871,41,Yes,-,True
host_identity_verified,BOOLEAN,96871,41,Yes,-,True
neighbourhood,VARCHAR,96871,55662,Yes,-,Neighborhood highlights
neighbourhood_cleansed,VARCHAR,96871,0,Yes,-,Westminster
neighbourhood_group_cleansed,VARCHAR,96871,96871,No,-,NULL
latitude,DOUBLE,96871,0,Yes,51.295937 to 51.68263,51.52239
longitude,DOUBLE,96871,0,Yes,-0.49676 to 0.27896,-0.12124
property_type,VARCHAR,96871,0,Yes,-,Entire rental unit
room_type,VARCHAR,96871,0,Yes,-,Entire home/apt
accommodates,BIGINT,96871,0,Yes,1 to 16,2
