price,hostings
70,2
149,1
411,2
210,2
280,1
90,2
61,3
340,3
49,1
213,1
96,2
71,2
48,3
76,1
50,1
78,11
79,11
86,4
78,11
89,11
79,11
159,1
40,2
53,1
117,1
106,1
35,1
110,1
169,5
417,9
163,5
125,2
217,1
43,1
57,12
75,1
145,1
135,2
80,4
160,4
90,2
175,1
350,1
60,1
100,1
120,1
192,4
55,1
176,1
36,1
135,1
156,1
105,2
170,1
76,1
83,1
239,1
218,2
90,3
58,1
42,4
39,1
131,8
224,1
151,1
198,1
70,1
93,1
108,2
45,1
44,1
23,5
93,12
54,1
36,2
78,4
151,2
95,2
53,3
189,1
66,3
71,6
191,1
150,1
50,2
250,4
380,1
100,4
160,4
40,1
130,1
303,11
116,11
174,11
170,11
187,11
148,11
142,11
235,11
236,11
66,6
74,3
50,2
248,1
112,4
122,19
140,1
95,3
117,1
32,6
37,6
40,2
118,1
48,1
57,1
189,1
253,2
41,1
529,1
45,1
38,2
44,4
429,4
248,1
219,1
180,2
97,4
26,1
104,1
95,3
70,1
171,1
70,2
166,1
178,1
114,4
58,4
37,2
95,1
96,1
60,1
201,2
26,4
176,3
198,3
39,2
39,2
103,1
200,1
135,4
83,4
300,4
99,1
32,1
36,6
204,1
180,2
37,2
138,1
115,1
204,1
192,4
420,1
86,1
51,1
54,1
275,4
223,1
361,3
90,4
107,4
81,4
97,3
45,1
57,1
50,2
50,2
781,1
80,3
51,1
23,1
20,1
180,1
150,1
38,1
83,1
50,1
72,1
85,2
53,5
53,5
64,3
41,2
63,1
81,1
33,5
42,1
120,3
59,1
63,1
87,3
49,1
39,1
410,1
40,1
345,2
135,1
74,1
114,2
195,1
38,1
110,1
73,1
127,1
171,1
105,4
126,1
31,7
302,2
83,2
66,1
23,5
85,1
166,2
235,1
155,1
135,2
123,9
149,2
127,2
52,1
220,1
54,1
55,1
80,1
41,1
587,1
90,7
357,3
62,1
78,1
120,1
154,4
41,1
85,2
76,1
136,4
153,4
290,2
70,1
77,1
167,2
43,1
67,24
238,1
100,1
499,2
195,2
175,1
67,4
55,4
55,4
52,4
105,1
127,2
175,1
182,3
28,1
68,1
69,3
281,3
238,1
55,1
135,1
600,3
56,1
91,1
171,19
189,11
2000,2
37,2
61,3
137,1
63,3
53,2
129,1
172,3
162,1
82,1
140,2
129,1
66,1
130,1
49,6
135,1
69,2
60,1
200,1
150,1
189,1
55,1
38,2
145,1
220,1
38,3
176,1
55,3
119,1
78,1
100,1
42,1
37,1
41,3
216,2
357,1
39,3
67,1
56,1
253,1
55,2
65,1
544,1
59,1
69,5
46,6
901,1
276,28
998,2
65,2
31,5
152,2
157,1
27,1
55,1
225,1
92,1
173,24
1636,24
152,1
52,2
86,1
32,3
152,2
76,1
90,4
181,1
197,1
63,1
90,3
380,1
401,1
100,1
49,1
