neighbourhood,price
Islington,70
Kensington and Chelsea,149
Westminster,411
Tower Hamlets,210
Richmond upon Thames,280
Haringey,90
Hammersmith and Fulham,61
Hammersmith and Fulham,340
Southwark,49
Barnet,213
Southwark,96
Barnet,71
Hammersmith and Fulham,48
Camden,76
Camden,50
Hammersmith and Fulham,78
Hammersmith and Fulham,79
Merton,86
Hammersmith and Fulham,78
Hammersmith and Fulham,89
Hammersmith and Fulham,79
Hackney,159
Barnet,40
Haringey,53
Lambeth,117
Waltham Forest,106
Merton,35
Wandsworth,110
Richmond upon Thames,169
Camden,417
Tower Hamlets,163
Islington,125
Havering,217
Greenwich,43
Southwark,57
Lambeth,75
Hammersmith and Fulham,145
Islington,135
Hammersmith and Fulham,80
Islington,160
Islington,90
Hammersmith and Fulham,175
Westminster,350
Lambeth,60
Haringey,100
Lambeth,120
Hammersmith and Fulham,192
Tower Hamlets,55
Westminster,176
Enfield,36
Hammersmith and Fulham,135
Camden,156
Lambeth,105
City of London,170
Tower Hamlets,76
Islington,83
Hackney,239
Merton,218
Southwark,90
Hammersmith and Fulham,58
Lambeth,42
Wandsworth,39
Hackney,131
Kensington and Chelsea,224
Brent,151
Hammersmith and Fulham,198
Richmond upon Thames,70
Southwark,93
Islington,108
Barking and Dagenham,45
Tower Hamlets,44
Croydon,23
Southwark,93
Haringey,54
Lewisham,36
Hammersmith and Fulham,78
Hackney,151
Kensington and Chelsea,95
Croydon,53
Hammersmith and Fulham,189
Southwark,66
Lambeth,71
Hammersmith and Fulham,191
Kensington and Chelsea,150
Islington,50
Hackney,250
Enfield,380
Tower Hamlets,100
Hackney,160
Ealing,40
Newham,130
Lewisham,303
Lewisham,116
Lewisham,174
Lewisham,170
Lewisham,187
Lewisham,148
Lewisham,142
Lewisham,235
Lewisham,236
Lambeth,66
Richmond upon Thames,74
Lewisham,50
Hammersmith and Fulham,248
Lewisham,112
Hounslow,122
Camden,140
Ealing,95
Hackney,117
Newham,32
Newham,37
Greenwich,40
Hammersmith and Fulham,118
Waltham Forest,48
Hillingdon,57
Haringey,189
Hackney,253
Barking and Dagenham,41
Camden,529
Hillingdon,45
Greenwich,38
Lambeth,44
Merton,429
Hackney,248
Hackney,219
Wandsworth,180
Camden,97
Waltham Forest,26
Camden,104
Kensington and Chelsea,95
Wandsworth,70
Islington,171
Wandsworth,70
Lambeth,166
Lambeth,178
Islington,114
Ealing,58
Lewisham,37
Hackney,95
Barnet,96
Hammersmith and Fulham,60
Camden,201
Croydon,26
City of London,176
Hounslow,198
Lambeth,39
Lambeth,39
Hackney,103
Kensington and Chelsea,200
Newham,135
Camden,83
Camden,300
Islington,99
Lambeth,32
Newham,36
Tower Hamlets,204
Hackney,180
Haringey,37
Lambeth,138
Westminster,115
Hackney,204
Camden,192
Wandsworth,420
Tower Hamlets,86
Waltham Forest,51
Hackney,54
Hackney,275
Richmond upon Thames,223
Westminster,361
Lambeth,90
Lambeth,107
Lambeth,81
Camden,97
Richmond upon Thames,45
Hackney,57
Hammersmith and Fulham,50
Hammersmith and Fulham,50
Wandsworth,781
Kensington and Chelsea,80
Lambeth,51
Barnet,23
Merton,20
Hackney,180
Redbridge,150
Tower Hamlets,38
Brent,83
Merton,50
Ealing,72
Merton,85
Hammersmith and Fulham,53
Hammersmith and Fulham,53
Wandsworth,64
Hounslow,41
Westminster,63
Camden,81
Greenwich,33
Lewisham,42
Westminster,120
Wandsworth,59
Croydon,63
Ealing,87
Islington,49
Southwark,39
Kensington and Chelsea,410
Wandsworth,40
Kensington and Chelsea,345
Hackney,135
Islington,74
Southwark,114
Kensington and Chelsea,195
Redbridge,38
Tower Hamlets,110
Hackney,73
Lambeth,127
Newham,171
Islington,105
Westminster,126
Lewisham,31
Camden,302
Brent,83
Lewisham,66
Croydon,23
Camden,85
Brent,166
Kensington and Chelsea,235
Hackney,155
Lambeth,135
Hackney,123
Lambeth,149
Hackney,127
Newham,52
Richmond upon Thames,220
Islington,54
Lewisham,55
Ealing,80
Greenwich,41
Westminster,587
Westminster,90
Westminster,357
Camden,62
Tower Hamlets,78
Islington,120
Wandsworth,154
Redbridge,41
Merton,85
Hackney,76
Wandsworth,136
Wandsworth,153
Hackney,290
Tower Hamlets,70
Hackney,77
Hackney,167
Wandsworth,43
Hammersmith and Fulham,67
Hackney,238
Waltham Forest,100
Southwark,499
Camden,195
Camden,175
Merton,67
Merton,55
Merton,55
Merton,52
Haringey,105
Greenwich,127
Hackney,175
Wandsworth,182
Lambeth,28
Lambeth,68
Wandsworth,69
Wandsworth,281
Tower Hamlets,238
Hackney,55
Lambeth,135
Islington,600
Waltham Forest,56
Waltham Forest,91
Brent,171
Westminster,189
Lambeth,2000
Croydon,37
Tower Hamlets,61
Islington,137
Merton,63
Kingston upon Thames,53
Southwark,129
Westminster,172
Lambeth,162
Hounslow,82
Southwark,140
Camden,129
Hammersmith and Fulham,66
Wandsworth,130
Tower Hamlets,49
Kensington and Chelsea,135
Merton,69
Newham,60
Tower Hamlets,200
Islington,150
Newham,189
Merton,55
Enfield,38
Lambeth,145
Westminster,220
Lambeth,38
Redbridge,176
Hackney,55
Camden,119
Brent,78
Camden,100
Brent,42
Lewisham,37
Haringey,41
Tower Hamlets,216
Islington,357
Ealing,39
Newham,67
Barnet,56
Kensington and Chelsea,253
Camden,55
Camden,65
Islington,544
Ealing,59
Ealing,69
Hammersmith and Fulham,46
Westminster,901
Lambeth,276
Westminster,998
Lambeth,65
Brent,31
Southwark,152
Camden,157
Barnet,27
Wandsworth,55
Lambeth,225
Kensington and Chelsea,92
Hammersmith and Fulham,173
Hammersmith and Fulham,1636
Camden,152
Waltham Forest,52
Islington,86
Tower Hamlets,32
Islington,152
Southwark,76
Lambeth,90
Hackney,181
Haringey,197
Tower Hamlets,63
Redbridge,90
Wandsworth,380
Lewisham,401
Islington,100
Camden,49
Lambeth,170
Islington,87
Islington,298
Newham,152
Wandsworth,250
Tower Hamlets,189
Lambeth,105
Southwark,131
Hammersmith and Fulham,221
Newham,121
Hounslow,37
Islington,580
Wandsworth,119
Lambeth,57
Haringey,50
Waltham Forest,70
Lewisham,34
Lambeth,180
Bromley,229
Tower Hamlets,33
Redbridge,72
Wandsworth,100
Hackney,173
Camden,70
Newham,250
Islington,95
Hackney,43
Haringey,47
Newham,37
Greenwich,78
Newham,105
Westminster,179
Westminster,54
Westminster,308
Kensington and Chelsea,100
Tower Hamlets,150
Hackney,74
Islington,42
Westminster,396
Hackney,102
Camden,116
Islington,230
Lambeth,72
Hackney,122
Lambeth,133
Brent,130
Tower Hamlets,230
Merton,133
Lewisham,46
Kensington and Chelsea,113
Tower Hamlets,75
Hackney,133
Ealing,35
Hackney,89
Greenwich,74
Hackney,167
Haringey,42
Brent,100
Newham,60
Lewisham,36
Kensington and Chelsea,42
Greenwich,44
Camden,89
Lambeth,151
Westminster,142
Waltham Forest,40
Waltham Forest,43
Tower Hamlets,115
Hackney,59
Brent,204
Hackney,145
Tower Hamlets,49
Waltham Forest,25
Camden,146
Kensington and Chelsea,147
Camden,358
Lambeth,38
Harrow,49
Kensington and Chelsea,255
Islington,60
Merton,104
Kingston upon Thames,84
Waltham Forest,44
Waltham Forest,35
Hackney,65
Lambeth,178
Lambeth,186
City of London,257
Hounslow,55
Hounslow,43
Kensington and Chelsea,44
Tower Hamlets,54
Hammersmith and Fulham,105
Wandsworth,76
Bexley,28
Southwark,98
Greenwich,57
Westminster,100
Haringey,36
Kensington and Chelsea,250
Hounslow,4332
Kensington and Chelsea,86
Islington,184
Hammersmith and Fulham,78
Hammersmith and Fulham,78
Lambeth,55
Camden,94
Islington,45
Brent,149
Tower Hamlets,220
Kensington and Chelsea,75
Southwark,48
Islington,356
Hammersmith and Fulham,49
Hackney,152
Hackney,122
